Frequency (THz),Background Power Spectrum,Sample Power Spectrum
0.54168701171875,9585.450478013088,5039.768762615862
0.545501708984375,9467.969232314894,5124.361808786428
0.54931640625,9326.903072458157,5098.782854663673
0.553131103515625,8725.338100598326,4886.633685934699
0.55694580078125,9504.971339407759,5327.225428826599
0.560760498046875,8571.930096139058,4941.968767625186
0.5645751953125,8947.463574502794,5281.316421184141
0.568389892578125,8468.008699953873,5126.368926839494
0.57220458984375,8954.058461413855,5410.698259320968
0.576019287109375,8640.129862242646,5411.6094063179435
0.579833984375,8125.154762561784,5124.667006224742
0.583648681640625,8918.523460828783,5659.1848706193605
0.58746337890625,8652.265474576594,5473.493628451782
0.591278076171875,8495.747015096837,5524.1176529826935
0.5950927734375,8434.155351884187,5542.22035283864
0.598907470703125,8518.84580977703,5626.729682539638
